v8-version,8,5,210,20,0
code-creation,Builtin,3,1901,0x1097848c0,1632,RecordWrite
code-creation,Builtin,3,1918,0x109784f40,424,EphemeronKeyBarrier
code-creation,Builtin,3,1924,0x109785100,48,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1930,0x109785140,301,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1938,0x109785280,224,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1944,0x109785380,275,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1951,0x1097854a0,316,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1957,0x1097855e0,140,CallBoundFunction
code-creation,Builtin,3,1962,0x109785680,117,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1968,0x109785700,117,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1974,0x109785780,117,Call_ReceiverIsAny
code-creation,Builtin,3,1979,0x109785800,528,Call_ReceiverIsNullOrUndefined_WithFeedback
code-creation,Builtin,3,1987,0x109785a20,528,Call_ReceiverIsNotNullOrUndefined_WithFeedback
code-creation,Builtin,3,1995,0x109785c40,528,Call_ReceiverIsAny_WithFeedback
code-creation,Builtin,3,2001,0x109785e60,890,CallProxy
code-creation,Builtin,3,2007,0x1097861e0,84,CallVarargs
code-creation,Builtin,3,2012,0x109786240,1100,CallWithSpread
code-creation,Builtin,3,2017,0x1097866a0,1680,CallWithSpread_WithFeedback
code-creation,Builtin,3,2023,0x109786d40,978,CallWithArrayLike
code-creation,Builtin,3,2028,0x109787120,1534,CallWithArrayLike_WithFeedback
code-creation,Builtin,3,2034,0x109787720,103,CallForwardVarargs
code-creation,Builtin,3,2040,0x1097877a0,103,CallFunctionForwardVarargs
code-creation,Builtin,3,2045,0x109787820,177,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,2051,0x1097878e0,277,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,2058,0x109787a00,394,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,2065,0x109787ba0,31,ConstructFunction
code-creation,Builtin,3,2070,0x109787bc0,140,ConstructBoundFunction
code-creation,Builtin,3,2076,0x109787c60,28,ConstructedNonConstructable
code-creation,Builtin,3,2082,0x109787c80,98,Construct
code-creation,Builtin,3,2088,0x109787d00,84,ConstructVarargs
code-creation,Builtin,3,2093,0x109787d60,1124,ConstructWithSpread
code-creation,Builtin,3,2099,0x1097881e0,1994,ConstructWithSpread_WithFeedback
code-creation,Builtin,3,2105,0x1097889c0,1068,ConstructWithArrayLike
code-creation,Builtin,3,2111,0x109788e00,1934,ConstructWithArrayLike_WithFeedback
code-creation,Builtin,3,2117,0x1097895a0,144,ConstructForwardVarargs
code-creation,Builtin,3,2123,0x109789640,144,ConstructFunctionForwardVarargs
code-creation,Builtin,3,2129,0x1097896e0,909,Construct_WithFeedback
code-creation,Builtin,3,2134,0x109789a80,349,JSConstructStubGeneric
code-creation,Builtin,3,2140,0x109789be0,248,JSBuiltinsConstructStub
code-creation,Builtin,3,2145,0x109789ce0,767,FastNewObject
code-creation,Builtin,3,2150,0x109789fe0,309,FastNewClosure
code-creation,Builtin,3,2156,0x10978a120,213,FastNewFunctionContextEval
code-creation,Builtin,3,2161,0x10978a200,213,FastNewFunctionContextFunction
code-creation,Builtin,3,2167,0x10978a2e0,193,CreateEmptyLiteralObject
code-creation,Builtin,3,2173,0x10978a3c0,242,CreateRegExpLiteral
